"id"~|~"name"~|~"birthdate"~|~"score"~|~"active"
"1001"~|~"Hannah Wiggins"~|~"1983-08-02"~|~"66.3"~|~"no"
"1002"~|~"James Cole"~|~"1996-02-29"~|~"94.1"~|~"yes"
"1003"~|~"Jonathan Hines"~|~"1983-01-07"~|~"96.8"~|~"yes"
"1004"~|~"Laurie Smith"~|~"1984-02-23"~|~"85.3"~|~"no"
"1005"~|~"Michael Hall"~|~"1986-09-30"~|~"87.8"~|~"no"
"1006"~|~"Kristopher Byrd"~|~"1997-12-21"~|~"80.5"~|~"no"
"1007"~|~"Nicholas Nunez"~|~"1974-06-20"~|~"86.9"~|~"yes"
"1008"~|~"Robert Skinner"~|~"1991-09-23"~|~"98.7"~|~"yes"
"1009"~|~"Kim Gentry"~|~"1979-10-21"~|~"72.6"~|~"no"
"1010"~|~"Karen Hayes"~|~"1988-06-30"~|~"74.6"~|~"yes"
"1011"~|~"Anna Vega"~|~"1975-10-25"~|~"75.1"~|~"yes"
"1012"~|~"Walter George"~|~"1994-06-24"~|~"90.2"~|~"yes"
"1013"~|~"Rachel Schultz"~|~"1976-08-22"~|~"65.2"~|~"yes"
"1014"~|~"Jill Hood"~|~"1993-10-31"~|~"94.8"~|~"no"
"1015"~|~"Grace Pugh"~|~"1996-12-08"~|~"95.7"~|~"yes"
"1016"~|~"Maria Dixon"~|~"1977-12-07"~|~"68.3"~|~"no"
"1017"~|~"Alexander Hoover"~|~"1994-02-24"~|~"70.5"~|~"yes"
"1018"~|~"Frank Adams"~|~"1999-11-20"~|~"70.3"~|~"no"
"1019"~|~"Ryan Hughes"~|~"1996-03-04"~|~"88.1"~|~"no"
"1020"~|~"Jesus Wilson"~|~"1993-07-27"~|~"99.4"~|~"yes"
"1021"~|~"Brian Meyer"~|~"1986-03-28"~|~"96.8"~|~"yes"
"1022"~|~"Benjamin Powell"~|~"1989-11-05"~|~"78.5"~|~"no"
"1023"~|~"Kayla Bright"~|~"1993-03-21"~|~"65.9"~|~"no"
"1024"~|~"Steven Patton"~|~"1991-12-02"~|~"70.3"~|~"yes"
"1025"~|~"Cheryl Crane"~|~"1986-05-01"~|~"86.1"~|~"yes"
"1026"~|~"Christopher Aguilar"~|~"1987-01-26"~|~"67.7"~|~"no"
"1027"~|~"Mary Dixon"~|~"1990-09-02"~|~"77.1"~|~"yes"
"1028"~|~"Brandon Hanna"~|~"1990-01-14"~|~"91.5"~|~"no"
"1029"~|~"Samantha Mack"~|~"1975-10-04"~|~"76.7"~|~"no"
"1030"~|~"Stephanie Patterson"~|~"1979-10-28"~|~"79.7"~|~"no"
"1031"~|~"Cody Smith"~|~"1975-05-05"~|~"72.7"~|~"yes"
"1032"~|~"Darrell Gonzalez"~|~"1985-02-11"~|~"83.4"~|~"yes"
"1033"~|~"Jade Ellis"~|~"1979-08-30"~|~"95.3"~|~"yes"
"1034"~|~"Sara Cole"~|~"1996-12-30"~|~"83.1"~|~"yes"
"1035"~|~"Michael Gibson"~|~"1991-08-01"~|~"83.8"~|~"yes"
"1036"~|~"Charles White"~|~"1977-04-09"~|~"84.9"~|~"no"
"1037"~|~"Chris Orr"~|~"1974-06-06"~|~"98.4"~|~"no"
"1038"~|~"Brian Lee"~|~"1982-06-17"~|~"76.2"~|~"no"
"1039"~|~"Crystal Rivera"~|~"1979-02-18"~|~"75.7"~|~"no"
"1040"~|~"Phillip Kaufman"~|~"1987-11-10"~|~"67.4"~|~"yes"
"1041"~|~"Calvin Stanley"~|~"1986-07-30"~|~"87.4"~|~"yes"
"1042"~|~"Christina Hernandez"~|~"1983-08-15"~|~"95.6"~|~"no"
"1043"~|~"Kenneth Hull"~|~"1988-03-28"~|~"75.5"~|~"no"
"1044"~|~"Christopher White"~|~"1991-02-24"~|~"73.6"~|~"no"
"1045"~|~"Jenna Copeland"~|~"1994-11-21"~|~"67.3"~|~"yes"
"1046"~|~"Daniel Johns"~|~"1993-12-09"~|~"92.4"~|~"no"
"1047"~|~"Natalie Howell"~|~"1982-08-30"~|~"65.4"~|~"yes"
"1048"~|~"James White"~|~"1998-03-13"~|~"74.2"~|~"yes"
"1049"~|~"Martha Lee"~|~"1994-09-25"~|~"83.7"~|~"yes"
"1050"~|~"Lisa Acosta"~|~"1992-02-12"~|~"73.7"~|~"no"
"1051"~|~"Douglas Allen"~|~"1982-03-31"~|~"68.6"~|~"no"
"1052"~|~"Logan Johnson"~|~"1979-07-22"~|~"84.0"~|~"yes"
"1053"~|~"Danielle Garza"~|~"1995-09-04"~|~"72.0"~|~"yes"
"1054"~|~"Christopher French"~|~"1986-10-04"~|~"81.3"~|~"yes"
"1055"~|~"Cody Bartlett"~|~"1986-03-11"~|~"93.8"~|~"yes"
"1056"~|~"Samuel Fleming"~|~"1980-05-15"~|~"68.1"~|~"no"
"1057"~|~"Alex Morris"~|~"1996-08-10"~|~"75.3"~|~"yes"
"1058"~|~"James Smith"~|~"1981-08-05"~|~"77.9"~|~"yes"
"1059"~|~"Matthew Wilson"~|~"1992-06-14"~|~"91.3"~|~"no"
"1060"~|~"Kenneth Leon"~|~"1979-08-22"~|~"93.6"~|~"yes"
"1061"~|~"Todd Smith"~|~"1978-10-25"~|~"75.2"~|~"no"
"1062"~|~"Mrs. Megan Haley"~|~"1989-01-07"~|~"78.4"~|~"no"
"1063"~|~"Brandon Dillon"~|~"1993-05-23"~|~"97.5"~|~"no"
"1064"~|~"Kelly Murphy"~|~"1987-08-01"~|~"91.8"~|~"yes"
"1065"~|~"Robin Short"~|~"1986-12-07"~|~"92.2"~|~"no"
"1066"~|~"Sandra Chavez"~|~"1991-06-18"~|~"71.0"~|~"no"
"1067"~|~"Joshua Atkinson"~|~"1993-04-15"~|~"83.9"~|~"no"
"1068"~|~"Marco Larson"~|~"1974-10-19"~|~"96.8"~|~"yes"
"1069"~|~"John Pratt"~|~"1983-09-23"~|~"65.2"~|~"yes"
"1070"~|~"Roger Moore"~|~"1980-06-02"~|~"85.2"~|~"yes"
"1071"~|~"Miguel Ramirez"~|~"1986-01-18"~|~"81.5"~|~"no"
"1072"~|~"Shirley Brown"~|~"1998-09-11"~|~"97.2"~|~"yes"
"1073"~|~"Brian Payne"~|~"1991-09-28"~|~"91.0"~|~"yes"
"1074"~|~"Jessica Thomas"~|~"1988-11-02"~|~"96.1"~|~"no"
"1075"~|~"Peggy Choi"~|~"1980-04-28"~|~"72.8"~|~"yes"
"1076"~|~"Abigail Davis"~|~"1977-12-19"~|~"75.2"~|~"yes"
"1077"~|~"Donna Wilkerson"~|~"1989-11-25"~|~"80.3"~|~"no"
"1078"~|~"Jason Arnold"~|~"1985-08-03"~|~"93.8"~|~"no"
"1079"~|~"Colleen Baker"~|~"1993-04-17"~|~"86.5"~|~"no"
"1080"~|~"Timothy Estrada"~|~"1979-11-11"~|~"96.1"~|~"yes"
"1081"~|~"Michael Townsend"~|~"1977-08-12"~|~"84.8"~|~"yes"
"1082"~|~"Beverly Orozco"~|~"1989-07-15"~|~"76.7"~|~"yes"
"1083"~|~"Michael Sheppard"~|~"1996-09-28"~|~"65.8"~|~"no"
"1084"~|~"Jonathan Mcdonald"~|~"1995-08-24"~|~"95.8"~|~"yes"
"1085"~|~"Sabrina Salas"~|~"1985-03-23"~|~"85.5"~|~"yes"
"1086"~|~"Jerome Rodriguez"~|~"1988-12-12"~|~"78.2"~|~"yes"
